HOBBIES,CATEGORY
Acting,"Arts, Music & Performance"
Action Figures,Collecting
Adventure park,Outdoors & Nature
Aerobics,Sports & Fitness
Air hockey,Sports & Fitness
Air sports,Other
Airbrushing,Other
Aircraft,Other
Aircraft spotting,Other
Airsoft,Other
All-Terrain vehicles,Other
Alternate reality games,Games & Tech
Alternative,Other
Amateur Radio,Other
Amateur astronomy,Outdoors & Nature
Amateur geology,Other
Amateur meteorology,Learning & Culture
Amateur radio,Other
American football,Sports & Fitness
Amusement Park,Outdoors & Nature
Amusement park,Outdoors & Nature
Animal,Other
Animal care,Other
Antiques,Other
Antiquing,Other
Antiquities,Other
Aquariums,Outdoors & Nature
Arcade Games,Games & Tech
Archaeology,Other
Archery,Other
Archery/Crossbow,Other
Architecture,Learning & Culture
Aromatherapy,Other
Art Activities,Other
Art Collecting / Collectibles,Other
Art and Crafts,Other
Art collecting,Other
Art/antique collecting,Collecting
Arts and Crafts,Other
Arts/cultural,Other
Artwork,"Arts, Music & Performance"
Association football,Sports & Fitness
Astrology,Other
Astronomy,Outdoors & Nature
Audiophilia,Other
Australian Football League,Sports & Fitness
Auto audiophilia,Other
Auto racing,Other
Autographs,Collecting
Automotive work/repair,Other
BMX tricks,Other
Back packing,Other
Backgamon,Other
Backpacking,Other
Badge Collecting,Other
Badminton,Sports & Fitness
Baking,Food & Drink
Ballet,Other
Ballet Dancing,Other
Ballooning,Other
Scuba,Outdoors & Nature
Scuba Diving,Outdoors & Nature
Scuba diving,Outdoors & Nature
Sculling or Rowing,Other
Sculpting,Other
Sculpture,"Arts, Music & Performance"
Seaglass collecting,Other
Seashell collecting,Other
Seashells,Other
Self-Improvement,Other
Self-Improvement Courses,Learning & Culture
Service,Other
Sewing,Crafts & DIY
Shoes,Other
Shooting guns,Other
Shooting sport,Other
Shopping,Other
Shopping for latest trends,Other
Shortwave listening,Other
Show Choir,"Arts, Music & Performance"
Sightseeing,Other
Singing,"Arts, Music & Performance"
Singing Lessons,"Arts, Music & Performance"
Singing games,"Arts, Music & Performance"
Singing/composing music,"Arts, Music & Performance"
Skate Boarding,Sports & Fitness
Skateboarding,Other
Skateboarding/rollerblading,Other
Skating,Sports & Fitness
Skating,Sports & Fitness
Skiing,Sports & Fitness
Skill games,Games & Tech
playing soccer,Sports & Fitness
free diving,Other
diving,Other
Skincare Regime,Other
Sky diving,Other
Skydiving,Other
Skydiving,Other
Skype,Games & Tech
Sky running,Sports & Fitness
Sledding,Other
Slot car racing,Other
Snake,Other
Snooker,Other
Snorkeling,Other
Snow Biking,Other
Snow Skiing,Sports & Fitness
Snow skiing,Sports & Fitness
Snowboarding,Other
Snowmobile Riding,Other
Snowmobiles,Other
Snowmobiling,Other
Snowshoeing,Other
Soap making,Crafts & DIY
Soccer,Sports & Fitness
Social,Other
Social Networking,Other
Soft Rock,Other
Softball,Other
Space Exploration,Other
Speed Skating,Sports & Fitness
Spider,Other
Spinning,Other
Sport fishing,Outdoors & Nature
Sporting dog field trials,Other
Sporting interests,Other
Sports,Other
Sports Cards,Collecting
Sports memorabilia,Other
Sports on TV,Other
Squash,Sports & Fitness
Stained Glass,Other
Stamp Collecting,Collecting
Stamps,Other
Stargazing,Other
Stereo,Other
Stocks,Other
Stone collecting,Other
Street Racing,Other
Street games,Games & Tech
Sudoku Puzzles,Other
Sunbathing,Other
Surfing,Sports & Fitness
Survey date,Other
Sweepstakes,Other
Sweepstake,Other
Swimming,Sports & Fitness
Swimming pool,Sports & Fitness
Table Tennis,Sports & Fitness
Table football,Sports & Fitness
Table tennis,Sports & Fitness
Tabletop games,Games & Tech
Tai Chi,Sports & Fitness
Tango Dance,"Arts, Music & Performance"
Target shooting,Other
Target shooting,Other
Tarot,Learning & Culture
Tarot card reading,Learning & Culture
Taxidermy,Other
Team Games,Games & Tech
Telescopes,Other
Ten Pin Bowling,Sports & Fitness
Tennis,Sports & Fitness
Texting,Other
Theater Sports,Other
Theater/Performing Arts,Other
Theatre,Other
Third person shooter games,Games & Tech
Thriller,Other
Tie dying,Crafts & DIY
Tile-based games,Games & Tech
Timeshare,Other
Touch football,Sports & Fitness
Tour skating,Sports & Fitness
Toys,Other
Track &amp,Other
Field,Other
Train Spotting,Other
Trainspotting,Other
Trap,Other
Travel,Outdoors & Nature
Travel games,Outdoors & Nature
Traveling,Other
Traveling and exploration,Other
Treasure Hunting,Outdoors & Nature
Treasure hunting,Outdoors & Nature
Tree climbing,Outdoors & Nature
Trekkie,Other
Trekking,Other
Turtle,Other
Tutoring,Other
Types of Recreation,Other
US Travel,Outdoors & Nature
Urban exploration,Other
Vacation cruises,Other
Traveling,Other
Vacations,Other
Vehicle restoration,Other
Veterans,Other
Video Games,Games & Tech
Video games,Games & Tech
Video gaming,Games & Tech
DVD,Other
Video,Other
Videophilia,Games & Tech
Vintage Books,Other
Vintage car,Other
Vintage clothing,Other
Vitamin supplements,Other
Volleyball,Sports & Fitness
Volunteering,Other
Walking,Other
Walking and Hiking,Outdoors & Nature
Walking/health,Other
Wall Art,Other
Want further mailings,Other
Wargames,Other
Warships,Other
Watching Movies,Other
Watching Sports,Other
Watching TV,Other
Watching movies,Other
Water Polo,Other
Water Skiing,Sports & Fitness
Water sports,Other
Watercolor Paintings,Other
Weather Forecasting,Other
Weaving,Crafts & DIY
Websites,Other
Weight training,Other
Weightlifting,Other
White Water Rafting,Outdoors & Nature
Whitewater rafting,Outdoors & Nature
Wildlife safari,Outdoors & Nature
Snorkeling,Other
Wildlife,Outdoors & Nature
Wind Surfing,Sports & Fitness
Windsurfing,Other
Windsurfing Kayaking,Other
Wine Appreciation,Food & Drink
Wine Making,Food & Drink
Wine tasting,Food & Drink
Wines,Food & Drink
Wingsuit flying,Other
Wood Carving,Crafts & DIY
Wood Working,Crafts & DIY
Woodworking,Other
Word games,Games & Tech
World news or politics,Other
Worldbuilding,"Arts, Music & Performance"
Worship Team,"Arts, Music & Performance"
Wrestling,Other
Writing,"Arts, Music & Performance"
Yachting,Other
Yo-yoing,Other
YoYo,Other
Yoga,Sports & Fitness
Youth Band,"Arts, Music & Performance"
Youth Group,Other
Yoyo,Other
Zumba,Other
cooperative games,Games & Tech
courses,Learning & Culture
deck building games,Games & Tech
insects,Other
knotting,Other
leaves,Other
magician,Other
angling/Fly fishing,Outdoors & Nature
real time games,Games & Tech
rocks,Other
strategy games,Games & Tech
thematic games,Games & Tech
Acting,"Arts, Music & Performance"
Aeromodeling,Other
Air sports,Other
Airbrushing,Other
Aircraft Spotting,Other
Airsoft,Other
Airsofting,Other
Amateur astronomy,Outdoors & Nature
Amateur geology,Other
Amateur Radio,Other
American football,Sports & Fitness
Animal fancy,Other
dogs,Other
pets,Other
Animals,Other
Antiquing,Other
Antiquities,Other
Aqua-lung,Other
Aquarium,Outdoors & Nature
Archery,Other
Art collecting,Other
Arts,Other
Association football,Sports & Fitness
Astrology,Other
Astronomy,Outdoors & Nature
Audiophilia,Other
Auto audiophilia,Other
Auto racing,Other
Backgammon,Other
Backpacking,Other
Badminton,Sports & Fitness
Base Jumping,Other
Baseball,Other
Basketball,Sports & Fitness
Baton Twirling,Other
Beach Volleyball,Sports & Fitness
Sun tanning,Other
Beach,Other
Beachcombing,Other
Beadwork,Crafts & DIY
Beatboxing,Other
Beekeeping,Other
Bell Ringing,Other
Belly Dancing,Other
Bicycle Polo,Other
Bicycling,Other
Billiards,Other
Bird watching,Outdoors & Nature
Birding,Other
Birdwatching,Other
Blacksmithing,Other
Blogging,Other
BMX,Other
Board games,Games & Tech
Board sports,Other
BoardGames,Other
Boating,Outdoors & Nature
Body Building,Other
Bodybuilding,Sports & Fitness
Bonsai Tree,Other
Book collecting,Learning & Culture
Bookbinding,Other
Boomerangs,Other
Bowling,Sports & Fitness
Boxing,Sports & Fitness
Brazilian jiu-jitsu,Other
Breakdancing,Other
Brewing Beer,Food & Drink
Bridge,Other
Bridge Building,Other
Bringing Food To The Disabled,Other
Building Dollhouses,Other
Bus spotting,Other
Butterfly Watching,Other
Button Collecting,Other
Cake Decorating,Other
Calligraphy,"Arts, Music & Performance"
Camping,Other
Candle making,Crafts & DIY
Canoeing,Other
Car Racing,Other
Card collecting,Other
Cartooning,Other
Casino Gambling,Other
Cave Diving,Other
Ceramics,Other
Cheerleading,Other
Chess,Games & Tech
Church/church activities,Other
Cigar Smoking,Other
Climbing,Other
Cloud Watching,Outdoors & Nature
Coin Collecting,Collecting
Collecting,Other
Collecting Antiques,Other
Collecting Artwork,"Arts, Music & Performance"
Collecting Hats,Other
Collecting Music Albums,"Arts, Music & Performance"
Collecting RPM Records,Other
Collecting Sports Cards,Collecting
Collecting Swords,Collecting
Color guard,Other
Coloring,Other
Comic book collecting,Collecting
Compose Music,"Arts, Music & Performance"
Computer activities,Games & Tech
Computer programming,Games & Tech
Conworlding,Other
Cooking,Food & Drink
Cosplay,Other
Cosplaying,Other
Couponing,Other
Crafts,Other
Creative writing,"Arts, Music & Performance"
Cricket,Other
Crochet,Crafts & DIY
Crocheting,Other
Cross-Stitch,Other
Crossword Puzzles,Games & Tech
Cryptography,Other
Curling,Other
Cycling,Sports & Fitness
Dance,"Arts, Music & Performance"
Dancing,Other
Darts,Other
Debate,Other
Deltiology,Other
Diecast Collectibles,Other
Digital arts,Other
Digital Photography,Other
Disc golf,Sports & Fitness
Do it yourself,Other
Dodgeball,Other
Dog sport,Other
Dolls,Other
Dominoes,Other
Dowsing,Other
Drama,Other
Drawing,"Arts, Music & Performance"
Driving,Other
Dumpster Diving,Other
Eating out,Food & Drink
Educational Courses,Learning & Culture
Electronics,Other
Element collecting,Other
Embroidery,Other
Entertaining,Other
Equestrianism,Other
aerobics,Sports & Fitness
Exercise,Other
Exhibition drill,Other
Falconry,Other
Fast cars,Other
Felting,Other
Fencing,Other
Field hockey,Sports & Fitness
Figure skating,Sports & Fitness
Fire Poi,Other
Fishing,Outdoors & Nature
Fishkeeping,Other
Flag Football,Sports & Fitness
Floorball,Other
Floral Arrangements,Other
Flower arranging,Other
Flower collecting and pressing,Other
Fly Tying,Other
Flying,Other
Footbag,Other
Football,Sports & Fitness
Foraging,Other
Foreign language learning,Learning & Culture
Fossil hunting,Outdoors & Nature
Four Wheeling,Other
Freshwater Aquariums,Outdoors & Nature
Frisbee Golf,Sports & Fitness
Gambling,Other
Games,Games & Tech
Gaming,Other
Garage Saleing,Other
Gardening,Other
Genealogy,Other
Geocaching,Other
Ghost hunting,Outdoors & Nature
Glassblowing,Other
Glowsticking,Other
Gnoming,Other
Going to movies,Other
Golf,Sports & Fitness
Golfing,Other
Gongoozling,Other
Graffiti,Other
Grip Strength,Other
Guitar,"Arts, Music & Performance"
Gun Collecting,Other
Gunsmithing,Other
Gymnastics,Other
Gyotaku,Other
Handball,Other
Handwriting Analysis,Other
Hang gliding,Outdoors & Nature
Herping,Other
Hiking,Outdoors & Nature
Home Brewing,Other
Home Repair,Other
Home Theater,Other
Homebrewing,Other
Hooping,Other
Horse riding,Other
Hot air ballooning,Other
Hula Hooping,Other
Hunting,Outdoors & Nature
Ice hockey,Sports & Fitness
Ice skating,Sports & Fitness
Iceskating,Other
Illusion,Other
Impersonations,Other
Inline skating,Sports & Fitness
Insect collecting,Other
Internet,Other
Inventing,Other
Jet Engines,Other
Jewelry Making,Other
Jigsaw Puzzles,Other
Jogging,Other
Judo,Other
Juggling,Other
Jukskei,Other
Jump Roping,Other
Kabaddi,Other
Kart racing,Other
Kayaking,Other
Keep A Journal,"Arts, Music & Performance"
Kitchen Chemistry,Learning & Culture
Kite Boarding,Other
Kite flying,Other
Kites,Other
Kitesurfing,Other
Knapping,Crafts & DIY
Knife making,Other
Knife throwing,Other
Knitting,Other
Knotting,Other
Lacemaking,Other
Lacrosse,Other
Lapidary,Other
LARPing,Other
Laser tag,Other
Lasers,Other
Lawn Darts,Other
Learn to Play Poker,Other
Learning A Foreign Language,Learning & Culture
Learning An Instrument,Other
Learning To Pilot A Plane,Other
Leather crafting,Other
Leathercrafting,Other
Lego building,Other
Legos,Other
Letterboxing,Other
Listening to music,"Arts, Music & Performance"
Locksport,Other
Machining,Other
Macramé,Other
Macrame,Other
Magic,Other
Mahjong,Other
Making Model Cars,Crafts & DIY
Marbles,Other
Marksmanship,Other
Martial arts,Sports & Fitness
Matchstick Modeling,Other
Meditation,Other
Metal detecting,Other
Meteorology,Learning & Culture
Microscopy,Other
Mineral collecting,Other
Model aircraft,Crafts & DIY
Model building,Crafts & DIY
Model Railroading,Crafts & DIY
Model Rockets,Crafts & DIY
Modeling Ships,Other
Models,Other
Motor sports,Other
Motorcycles,Other
Mountain Biking,Other
Mountain Climbing,Other
Mountaineering,Other
Movie and movie memorabilia collecting,Other
Mushroom hunting/Mycology,Outdoors & Nature
Musical Instruments,Other
Nail Art,Other
Needlepoint,Other
Netball,Other
Nordic skating,Sports & Fitness
Orienteering,Other
Origami,Crafts & DIY
Owning An Antique Car,Collecting
Paintball,Other
Painting,"Arts, Music & Performance"
Papermache,Other
Papermaking,Crafts & DIY
Parachuting,Other
Paragliding or Power Paragliding,Outdoors & Nature
Parkour,Other
People Watching,Other
Photography,Other
Piano,"Arts, Music & Performance"
Pigeon racing,Other
Pinochle,Other
Pipe Smoking,Other
Planking,Other
Playing music,"Arts, Music & Performance"
Playing musical instruments,Other
Playing team sports,Other
Poker,Other
Pole Dancing,Other
Polo,Other
Pottery,Crafts & DIY
Powerboking,Other
Protesting,Other
Puppetry,Other
Puzzles,Other
Pyrotechnics,Other
Quilting,Other
R/C Boats,Other
R/C Cars,Other
R/C Helicopters,Other
R/C Planes,Other
Racing Pigeons,Other
Racquetball,Other
Radio-controlled car racing,Other
Rafting,Outdoors & Nature
Railfans,Other
Rappelling,Other
Rapping,Other
Reading,Learning & Culture
Reading To The Elderly,Learning & Culture
Record collecting,Other
Relaxing,Other
Renaissance Faire,Other
Renting movies,Other
Rescuing Abused,Other
Abandoned Animals,Other
Robotics,Other
Rock balancing,Other
Rock climbing,Other
Rock Collecting,Other
Rockets,Other
Rocking AIDS Babies,Other
Roleplaying,Other
Roller derby,Other
Roller skating,Sports & Fitness
Rugby,Other
Rugby league football,Sports & Fitness
Running,Sports & Fitness
Sailing,Outdoors & Nature
Saltwater Aquariums,Outdoors & Nature
Sand art,Other
Sand Castles,Other
Scrapbooking,Other
Scuba diving,Outdoors & Nature
Sculling or Rowing,Other
Sculpting,Other
Sea glass collecting,Collecting
Seashell collecting,Other
Self Defense,Sports & Fitness
Sewing,Crafts & DIY
Shark Fishing,Outdoors & Nature
Shooting,Other
Shooting sport,Other
Shopping,Other
Shortwave listening,Other
Singing,"Arts, Music & Performance"
Singing In Choir,"Arts, Music & Performance"
Skateboarding,Other
Skeet Shooting,Other
Sketching,Other
Skiing,Sports & Fitness
Skimboarding,Other
Sky Diving,Other
Skydiving,Other
Slack Lining,Other
Slacklining,Other
Sleeping,Other
Slingshots,Other
Slot car racing,Other
Snorkeling,Other
Snowboarding,Other
Soap Making,Crafts & DIY
Soapmaking,Other
Socializing with friends/neighbors,Other
Speed Cubing,Other
Speed skating,Sports & Fitness
Spelunkering,Other
Spending time with family/kids,Other
Sports,Other
Squash,Sports & Fitness
Stamp Collecting,Collecting
Stand-up comedy,Other
Stone collecting,Other
Stone skipping,Other
Storm Chasing,Other
Storytelling,Other
String Figures,Other
Sudoku,Other
Surf Fishing,Sports & Fitness
Surfing,Sports & Fitness
Survival,Other
Swimming,Sports & Fitness
Table football,Sports & Fitness
Table tennis,Sports & Fitness
Taekwondo,Other
Tai chi,Sports & Fitness
Tatting,Other
Taxidermy,Other
Tea Tasting,Food & Drink
Tennis,Sports & Fitness
Tesla Coils,Other
Tetris,Games & Tech
Textiles,Other
Texting,Other
Tombstone Rubbing,Other
Tool Collecting,Other
Tour skating,Sports & Fitness
Toy Collecting,Other
Train Collecting,Other
Train Spotting,Other
Trainspotting,Other
Traveling,Other
Treasure Hunting,Outdoors & Nature
Trekkie,Other
Triathlon,Other
Tutoring Children,Other
TV watching,Other
Ultimate Frisbee,Other
Urban exploration,Other
Vehicle restoration,Other
Video game collecting,Other
Video Games,Games & Tech
Video gaming,Games & Tech
Videophilia,Games & Tech
Vintage cars,Other
Violin,Other
Volleyball,Sports & Fitness
Volunteer,Other
Walking,Other
Warhammer,Other
Watching movies,Other
Watching sporting events,Other
Water sports,Other
Weather Watcher,Other
Web surfing,Sports & Fitness
Weightlifting,Other
Windsurfing,Other
Wine Making,Food & Drink
Wood carving,Crafts & DIY
Woodworking,Other
Working In A Food Pantry,Other
Working on cars,Other
World Record Breaking,Other
Worldbuilding,"Arts, Music & Performance"
Wrestling,Other
Writing,"Arts, Music & Performance"
Writing Music,"Arts, Music & Performance"
Writing Songs,"Arts, Music & Performance"
Yo-yoing,Other
Yoga,Sports & Fitness
YoYo,Other
Ziplining,Other
Zumba,Other
