HOBBIES,count
Skydiving,3
Traveling,3
Snorkeling,3
Acting,2
Airsoft,2
Art collecting,2
Association football,2
Amateur geology,2
Amateur Radio,2
Amateur astronomy,2
Yoga,2
YoYo,2
Yo-yoing,2
Zumba,2
Wrestling,2
Writing,2
Woodworking,2
Wine Making,2
Weightlifting,2
Windsurfing,2
Volleyball,2
Backpacking,2
Badminton,2
Archery,2
Watching movies,2
Worldbuilding,2
Urban exploration,2
Vehicle restoration,2
Video gaming,2
Video Games,2
Videophilia,2
Tour skating,2
Train Spotting,2
Trainspotting,2
Treasure Hunting,2
Trekkie,2
Taxidermy,2
Sculpting,2
Seashell collecting,2
Sewing,2
Walking,2
Water sports,2
Astronomy,2
Astrology,2
Audiophilia,2
Auto audiophilia,2
Texting,2
Surfing,2
Auto racing,2
Tennis,2
Table tennis,2
Target shooting,2
Sports,2
Singing,2
Skateboarding,2
Skating,2
Swimming,2
Table football,2
Scuba diving,2
Skiing,2
Sculling or Rowing,2
Squash,2
Stone collecting,2
Stamp Collecting,2
Snowboarding,2
Slot car racing,2
Shooting sport,2
Shopping,2
Shortwave listening,2
American football,2
Antiquing,2
Antiquities,2
Airbrushing,2
Air sports,2
Sleeping,1
Slingshots,1
Soap Making,1
Soapmaking,1
Socializing with friends/neighbors,1
Aromatherapy,1
Art Activities,1
Art Collecting / Collectibles,1
Art and Crafts,1
Art/antique collecting,1
Arts and Crafts,1
Arts/cultural,1
Artwork,1
Surf Fishing,1
Survival,1
Taekwondo,1
Snow Biking,1
Snow Skiing,1
Shooting guns,1
Shopping for latest trends,1
Show Choir,1
Amateur meteorology,1
Amateur radio,1
Amusement Park,1
Amusement park,1
Animal,1
Animal care,1
Antiques,1
Ultimate Frisbee,1
Video game collecting,1
Vintage cars,1
Violin,1
Softball,1
Space Exploration,1
Speed Skating,1
Spider,1
Spinning,1
Skill games,1
playing soccer,1
free diving,1
diving,1
Skincare Regime,1
Sky diving,1
Skype,1
Sky running,1
Sledding,1
Snake,1
Snooker,1
Stained Glass,1
Stamps,1
Stargazing,1
Stereo,1
Stocks,1
Street Racing,1
Snow skiing,1
Snowmobile Riding,1
Snowmobiles,1
Snowmobiling,1
Snowshoeing,1
Soap making,1
Soccer,1
Social,1
Social Networking,1
Soft Rock,1
Sport fishing,1
Sporting dog field trials,1
Sporting interests,1
Sports Cards,1
Sports memorabilia,1
Sightseeing,1
Singing Lessons,1
Singing games,1
Singing/composing music,1
Skate Boarding,1
Skateboarding/rollerblading,1
Ballet Dancing,1
Ballooning,1
Scuba,1
Scuba Diving,1
Sports on TV,1
Third person shooter games,1
Thriller,1
Tie dying,1
Tile-based games,1
Timeshare,1
Street games,1
Sudoku Puzzles,1
Sunbathing,1
Survey date,1
Sweepstakes,1
Sweepstake,1
Swimming pool,1
Table Tennis,1
Tabletop games,1
Tai Chi,1
Tango Dance,1
Tarot,1
Tarot card reading,1
Team Games,1
Telescopes,1
Ten Pin Bowling,1
Sculpture,1
Seaglass collecting,1
Seashells,1
Self-Improvement,1
Self-Improvement Courses,1
Service,1
Shoes,1
